title,category,code,description_en,hierarchy_level,broader_concept_code,uri,broader_concept_uri,number_of_items
attitudes and values,A,A,"Individual work styles, preferences and work-related beliefs that underpin behaviour so that knowledge and skills are applied effectively.",0,is_top,http://data.europa.eu/esco/skill/A,is_top,174
attitudes,A,A1,Individual work styles that can affect how well someone performs a job.,1,A,http://data.europa.eu/esco/skill/A1,http://data.europa.eu/esco/skill/A,140
attitudes,A,A1.0,Individual work styles that can affect how well someone performs a job.,2,A1,http://data.europa.eu/esco/skill/A1.0,http://data.europa.eu/esco/skill/A1,0
attitudes,A,A1.0.0,Individual work styles that can affect how well someone performs a job.,3,A1.0,http://data.europa.eu/esco/skill/A1.0.0,http://data.europa.eu/esco/skill/A1.0,0
adapt to change,A,A1.1,Alter one's attitude or behaviour to accommodate modifications in the workplace.,2,A1,http://data.europa.eu/esco/skill/A1.1,http://data.europa.eu/esco/skill/A1,11
adapt to change,A,A1.1.0,Alter one's attitude or behaviour to accommodate modifications in the workplace.,3,A1.1,http://data.europa.eu/esco/skill/A1.1.0,http://data.europa.eu/esco/skill/A1.1,11
manage frustration,A,A1.10,Stay calm and react in a constructive way to own or others' anger or when faced with obstacles or complaints.,2,A1,http://data.europa.eu/esco/skill/A1.10,http://data.europa.eu/esco/skill/A1,2
manage frustration,A,A1.10.0,Stay calm and react in a constructive way to own or others' anger or when faced with obstacles or complaints.,3,A1.10,http://data.europa.eu/esco/skill/A1.10.0,http://data.europa.eu/esco/skill/A1.10,2
manage quality,A,A1.12,"Pursue excellence in workplace processes, products and activities.",2,A1,http://data.europa.eu/esco/skill/A1.12,http://data.europa.eu/esco/skill/A1,43
manage quality,A,A1.12.0,"Pursue excellence in workplace processes, products and activities.",3,A1.12,http://data.europa.eu/esco/skill/A1.12.0,http://data.europa.eu/esco/skill/A1.12,1
assure quality of processes and products,A,A1.12.1,Ensure the quality of all factors involved in a production process and establish quality standards and procedures for quality control.,3,A1.12,http://data.europa.eu/esco/skill/A1.12.1,http://data.europa.eu/esco/skill/A1.12,20
apply quality standards,A,A1.12.2,Follow defined procedures and standards which prevent errors in the creation and delivery of a product or a service to customers.,3,A1.12,http://data.europa.eu/esco/skill/A1.12.2,http://data.europa.eu/esco/skill/A1.12,14
provide high quality client service,A,A1.12.3,"Respond to the expectations of clients and customers in a professional manner, anticipating and addressing their needs and desires, to ensure customer satisfaction and loyalty.",3,A1.12,http://data.europa.eu/esco/skill/A1.12.3,http://data.europa.eu/esco/skill/A1.12,8
meet commitments,A,A1.13,"Perform one's tasks in a self-disciplined, reliable and goal-oriented manner.",2,A1,http://data.europa.eu/esco/skill/A1.13,http://data.europa.eu/esco/skill/A1,19
meet commitments,A,A1.13.0,"Perform one's tasks in a self-disciplined, reliable and goal-oriented manner.",3,A1.13,http://data.europa.eu/esco/skill/A1.13.0,http://data.europa.eu/esco/skill/A1.13,3
meet deadlines and follow schedules,A,A1.13.1,Ensuring that operative processes are finished at a previously agreed time.,3,A1.13,http://data.europa.eu/esco/skill/A1.13.1,http://data.europa.eu/esco/skill/A1.13,11
assume responsibility,A,A1.13.2,"Accepting responsibility and accountability for one's own professional decisions and actions, or those delegated to others.",3,A1.13,http://data.europa.eu/esco/skill/A1.13.2,http://data.europa.eu/esco/skill/A1.13,4
stay within budget,A,A1.13.3,Sticking to an agreed budget and adapting work and materials to budget.,3,A1.13,http://data.europa.eu/esco/skill/A1.13.3,http://data.europa.eu/esco/skill/A1.13,1
persist,A,A1.14,Stick to one's tasks in spite of fatigue or frustration.,2,A1,http://data.europa.eu/esco/skill/A1.14,http://data.europa.eu/esco/skill/A1,15
persist,A,A1.14.0,Stick to one's tasks in spite of fatigue or frustration.,3,A1.14,http://data.europa.eu/esco/skill/A1.14.0,http://data.europa.eu/esco/skill/A1.14,15
work efficiently,A,A1.15,"Achieve objectives using minimum amount of time, effort, or cost.",2,A1,http://data.europa.eu/esco/skill/A1.15,http://data.europa.eu/esco/skill/A1,5
work efficiently,A,A1.15.0,"Achieve objectives using minimum amount of time, effort, or cost.",3,A1.15,http://data.europa.eu/esco/skill/A1.15.0,http://data.europa.eu/esco/skill/A1.15,5
work independently,A,A1.16,"Develop one's own ways of doing things, motivating oneself with little or no supervision, and depending on oneself to get things done.",2,A1,http://data.europa.eu/esco/skill/A1.16,http://data.europa.eu/esco/skill/A1,9
work independently,A,A1.16.0,"Develop one's own ways of doing things, motivating oneself with little or no supervision, and depending on oneself to get things done.",3,A1.16,http://data.europa.eu/esco/skill/A1.16.0,http://data.europa.eu/esco/skill/A1.16,9
