cluster_0,cluster_1,cluster_2,label_cluster_0,label_cluster_1,label_cluster_2,most_frequent_surface_forms
0.0,0.0,0.0,Transversal skills,General Workplace Skills,General Workplace Skills,"communication, flexible, planning, attention detail, make decision, personal protective equipment, work independently, interpersonal skill, team working, team work"
0.0,1.0,1.0,Transversal skills,Languages,Languages,"english, welsh, german, french, fluent english, spoken english, written english, spanish, bsl, sign language"
1.0,2.0,2.0,"Healthcare, Social Work & Research",Care & Social Work,Care & Social Work,"carer, centred care, nutrition, person centred care, health well, vaccination, administering medication, home care, abuse, homecare"
1.0,3.0,3.0,"Healthcare, Social Work & Research",Healthcare,Medical Specialist Skills,"surgery, medicine, intensive care, orthopaedics, contact lens, paediatrics, urology, gynaecology, anaesthetic, emergency care"
1.0,3.0,4.0,"Healthcare, Social Work & Research",Healthcare,Psychology & Mental Health,"mental health, rehabilitation, psychology, psychologist, occupational therapy, mental health issue, mental health condition, health assessment, family life, mental health problem"
1.0,3.0,5.0,"Healthcare, Social Work & Research",Healthcare,Public Health Administration,"primary care, public health, clinical decision, blood, organisational communication, health care professional, service requirement, clinical research, outbreak, community health"
1.0,3.0,6.0,"Healthcare, Social Work & Research",Healthcare,Physiotherapy,"physiotherapist, physiotherapy, fitness environment, massage, development disability, physiotherapy service, hydrotherapy, podiatry, qualified fitness instructor, healthy environment"
1.0,4.0,7.0,"Healthcare, Social Work & Research",Scientific Research,Scientific Research,"chemistry, medical device, consumables, biology, pharmaceutical company, clinical trial, pharmaceutical industry, virus, sampling, pathology"
2.0,5.0,8.0,Education,Education,Teaching,"secondary school, teaching experience, adult learning, classroom management, tutoring, sociology, extra curricular activity, help student, politics, educational development"
2.0,5.0,9.0,Education,Education,Learning Support,"safeguarding, primary school, autism, child protection, special educational need, teacher support, learning difficulty, learning support, support student, humour"
2.0,5.0,10.0,Education,Education,Education Management,"e learning, deliver training, delivering training, lesson plan, skill gap, learning programme, online platform, education system, education programme, learning management system"
2.0,5.0,11.0,Education,Education,Extracurricular & Sports Activities,"football, swimming, yoga, golf, swimming pool, dance, tennis, sporting event, skiing, sporting activity"
3.0,6.0,12.0,Sales & Communication,Customer Services & Sales,Customer Services,"customer service, excellent customer service, customer experience, support client, customer care, customer satisfaction, quotation, support customer, business client, improve service"
3.0,6.0,13.0,Sales & Communication,Customer Services & Sales,Sales,"sale, crm, new customer, new business opportunity, customer relationship, sale process, business relationship, cold calling, sale activity, seller"
3.0,7.0,14.0,Sales & Communication,Communication,Marketing,"facebook, kpis, google, digital marketing, marketing strategy, market research, instagram, ppc, social medium platform, marketing plan"
3.0,7.0,15.0,Sales & Communication,Communication,Multimedia & Product Design,"user experience, product management, product design, design process, design technology, photography, process design, design principle, brand guideline, graphic design"
3.0,7.0,16.0,Sales & Communication,Communication,Public Relations,"news, newsletter, grammar, internal communication, communication strategy, press release, event management, spelling, social responsibility, journalist"
3.0,8.0,17.0,Sales & Communication,"Procurement, Logistics & Trade",Transport & Logistics,"logistics, stock level, supply chain logistics, warehouse operation, logistics team, dispatching, warehouse management system, inventory control, stock movement, operation process"
3.0,8.0,18.0,Sales & Communication,"Procurement, Logistics & Trade",Procurement,"buyer, erp system, contract management, supplier management, cost management, supply chain management, production planning, tender process, commercial risk, bom"
3.0,8.0,19.0,Sales & Communication,"Procurement, Logistics & Trade",International Trade,"international trade, shipping industry, freight industry, transport management, custom compliance, custom regulation, arrange delivery, global trade, custom document, import export process"
4.0,9.0,20.0,Information & Communication Technologies,Information & Communication Technologies,Data Analytics,"statistic, database, computer, sql, python, data analysis, computer science, sql server, use data, data analytics"
4.0,9.0,21.0,Information & Communication Technologies,Information & Communication Technologies,Web & Software Development,"java, java script, c#, html, dev ops, git, scripting, php, asp net, legacy"
4.0,9.0,22.0,Information & Communication Technologies,Information & Communication Technologies,IT Support Services,"helpdesk, operating system, active directory, itil, cisco, vmware, firewall, mobile device, information technology, dns"
4.0,9.0,23.0,Information & Communication Technologies,Information & Communication Technologies,Security & Cybersecurity,"cyber security, malware, information security, data protection regulation, data privacy, penetration testing tool, data security, protect data, security standard, security team"
5.0,10.0,24.0,"Business Administration, Finance & Law",Business Administration,Business & Project Management,"portfolio, agile, management skill, project management, continuous improvement, managing team, leading team, process improvement, leadership skill, manage team"
5.0,10.0,25.0,"Business Administration, Finance & Law",Business Administration,Office Adminstration,"microsoft office, spreadsheet, administrative task, ordering, data entry, phone call, administration duty, office application, incoming call, attend meeting"
5.0,10.0,26.0,"Business Administration, Finance & Law",Business Administration,Human Resources,"training session, employment law, training employee, employment legislation, staff recruitment, trade union, employment policy, staff absence, personnel recruiting, hr management"
5.0,11.0,27.0,"Business Administration, Finance & Law",Finance & Law,Financial Services,"finance, insurance, audit, financial service, banking, valuation, internal audit, rent, shareholder, investment banking"
5.0,11.0,28.0,"Business Administration, Finance & Law",Finance & Law,Accounting,"accounting, budgeting, profitability, cash flow, debt, billing, auditor, credit control, bookkeeping, financial planning"
5.0,11.0,29.0,"Business Administration, Finance & Law",Finance & Law,Law,"conveyancing, case management, business regulation, legal advice, legal service, probate, caseloads, attorney, family law, international law"
5.0,11.0,30.0,"Business Administration, Finance & Law",Finance & Law,Tax,"tax, tax return, tax planning, legal protection, international tax, legislation policy, tax legislation, tax law, client right, family benefit"
6.0,12.0,31.0,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Manufacturing & Mechanical Engineering,"warehouse, forklift, pallet, production line, welding, plastic, manufacturing process, gmp, engineering drawing, scanner"
6.0,12.0,32.0,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Electrical Engineering,"electronics, control system, electrical engineering, telecommunication, hydraulics, pneumatics, high speed, conveyor, electrical system, system control"
6.0,12.0,33.0,"Engineering, Construction & Maintenance",Manufacturing & Engineering,Civil Engineering,"surveying, construction industry, mechanical engineering, autocad, civil engineering, drainage, construction project, engineering project, architecture design, construction site"
6.0,13.0,34.0,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Workplace Safety Management,"health safety, risk assessment, risk management, facility management, security clearance, health safety policy, health safety regulation, alarm, safety requirement, health safety procedure"
6.0,13.0,35.0,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Automotive Maintenance & Waste Management,"driving license, maintenance repair, mechanic, mot, vehicle repair, waste management, petrol, dumper, company fleet, fleet management"
6.0,13.0,36.0,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance","Electrical, Heating & Ventilation Installation","electric, electrician, pump, boiler, installation maintenance, plumber, electricity, water treatment, heat pump, tank"
6.0,13.0,37.0,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance","Horticulture, Animal Husbandry & Environment","ground maintenance, wildlife, tractor, weather condition, working outdoors, animal welfare, open space, weeding, animal care, livestock"
6.0,13.0,38.0,"Engineering, Construction & Maintenance","Construction, Installation & Maintenance",Construction,"carpentry, power tool, building material, roofing, tiling, plastering, shower, cladding, hoist, bricklaying"
7.0,14.0,39.0,"Food, Cleaning & Hospitality","Food, Cleaning & Hospitality","Food, Hospitality & Beauty Services","catering, cooking, food hygiene, special menu, bakery, hygiene standard, food product, recipe, haccp, food service"
7.0,14.0,40.0,"Food, Cleaning & Hospitality","Food, Cleaning & Hospitality",Cleaning Services,"cleaner, personal hygiene, laundry, toilet, housekeeping duty, cleaning duty, cleaning equipment, food safety standard, making bed, cooker"
